step,avg_waiting_time,max_waiting_time,throughput,conflict_count
169,15.142857142857142,30.0,43,0
170,16.047619047619047,31.0,43,0
171,16.952380952380953,32.0,43,0
172,17.045454545454547,33.0,44,0
173,17.954545454545453,34.0,44,0
174,18.863636363636363,35.0,44,0
175,19.818181818181817,36.0,44,0
176,19.869565217391305,37.0,45,0
177,20.782608695652176,38.0,45,0
178,21.695652173913043,39.0,45,0
179,22.608695652173914,40.0,45,0
180,8.958333333333334,32.0,46,0
181,4.583333333333333,28.0,46,0
182,1.75,23.0,46,0
183,0.9583333333333334,17.0,46,0
184,0.2916666666666667,3.0,46,0
185,0.4166666666666667,4.0,47,0
186,0.34782608695652173,5.0,47,0
187,0.5238095238095238,6.0,47,0
188,0.6363636363636364,7.0,48,0
189,0.45454545454545453,6.0,48,0
190,0.6190476190476191,7.0,48,0
191,0.9,8.0,48,0
192,1.263157894736842,9.0,49,0
193,1.4736842105263157,10.0,49,0
194,2.0588235294117645,11.0,49,0
195,2.625,12.0,49,0
196,2.8823529411764706,13.0,50,0
197,3.3529411764705883,14.0,50,0
198,3.823529411764706,15.0,50,0
199,4.352941176470588,16.0,50,0
200,4.9411764705882355,17.0,50,0
201,5.588235294117647,18.0,50,0
202,6.294117647058823,19.0,50,0
203,7.0,20.0,50,0
204,7.529411764705882,21.0,50,0
205,8.235294117647058,22.0,50,0
206,9.0,23.0,50,0
207,9.764705882352942,24.0,50,0
208,10.529411764705882,25.0,50,0
209,11.411764705882353,26.0,50,0
210,13.0625,27.0,50,0
211,14.0,28.0,50,0
212,14.9375,29.0,50,0
213,15.9375,30.0,50,0
214,16.9375,31.0,50,0
215,17.9375,32.0,50,0
216,18.9375,33.0,50,0
217,19.9375,34.0,50,0
218,20.9375,35.0,50,0
219,21.9375,36.0,50,0
220,22.9375,37.0,50,0
221,23.9375,38.0,50,0
222,24.9375,39.0,50,0
223,25.9375,40.0,50,0
224,26.9375,41.0,50,0
225,14.1875,39.0,50,0
226,3.125,18.0,50,0
227,0.9375,15.0,50,0
228,0.06666666666666667,1.0,50,0
229,0.13333333333333333,2.0,50,0
230,0.26666666666666666,3.0,50,0
231,0.4,4.0,50,0
232,0.5333333333333333,5.0,50,0
233,0.7142857142857143,6.0,50,0
234,0.8571428571428571,7.0,50,0
235,1.2142857142857142,8.0,50,0
236,1.0,7.0,50,0
237,0.8571428571428571,3.0,50,0
238,1.3571428571428572,4.0,50,0
239,1.9285714285714286,5.0,50,0
240,2.6923076923076925,6.0,50,0
241,3.3076923076923075,7.0,50,0
242,4.25,8.0,50,0
243,4.916666666666667,9.0,50,0
244,5.583333333333333,10.0,50,0
245,6.25,11.0,50,0
246,7.0,12.0,50,0
247,7.75,13.0,50,0
248,8.5,14.0,50,0
249,9.25,15.0,50,0
250,10.0,16.0,50,0
251,10.833333333333334,17.0,50,0
252,12.727272727272727,18.0,50,0
253,13.636363636363637,19.0,50,0
254,14.636363636363637,20.0,50,0
255,15.636363636363637,21.0,50,0
256,16.636363636363637,22.0,50,0
257,17.636363636363637,23.0,50,0
258,18.636363636363637,24.0,50,0
259,19.636363636363637,25.0,50,0
260,20.636363636363637,26.0,50,0
261,21.636363636363637,27.0,50,0
262,22.636363636363637,28.0,50,0
263,23.636363636363637,29.0,50,0
264,24.636363636363637,30.0,50,0
265,25.636363636363637,31.0,50,0
