begin,end,id,id2,sampledSeconds,traveltime,overlapDensity,waitingTime,timeLoss,speed,speedRelative,departed,arrived,entered,left,laneChangedFrom,laneChangedTo,flow
420,480,edgeData,-E16,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E17,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E18,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E19,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E2,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E20,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E21,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E22,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E23,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E3,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E4,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E5,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E6,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E7,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E8,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,-E9,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E0,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E1,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E10,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E11,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E12,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E13,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E14,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E15,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E16,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E17,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E18,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E19,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E2,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E20,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E21,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E22,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E23,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E3,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E4,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E5,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E6,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E7,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E8,0,,,,,,,0,0,0,0,0,0,
420,480,edgeData,E9,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E0,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E1,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E10,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E11,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E12,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E13,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E14,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E15,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E16,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E17,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E18,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E19,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E2,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E20,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E21,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E22,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E23,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E3,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E4,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E5,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E6,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E7,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E8,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,-E9,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E0,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E1,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E10,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E11,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E12,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E13,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E14,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E15,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E16,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E17,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E18,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E19,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E2,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E20,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E21,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E22,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E23,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E3,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E4,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E5,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E6,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E7,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E8,0,,,,,,,0,0,0,0,0,0,
480,500,edgeData,E9,0,,,,,,,0,0,0,0,0,0,
