step,avg_waiting_time,throughput,conflict_count
85,0.13636363636363635,42,0
86,0.18181818181818182,42,0
87,0.14285714285714285,43,0
88,0.19047619047619047,44,0
89,0.2631578947368421,44,0
90,0.0,45,0
91,0.0,45,0
92,0.0,46,0
93,0.0,46,0
94,0.0,46,0
95,0.0,46,0
96,0.0,48,0
97,0.0,48,0
98,0.041666666666666664,49,0
99,0.08333333333333333,49,0
100,0.043478260869565216,49,0
101,0.08333333333333333,50,0
102,0.0,50,0
103,0.0,51,0
104,0.0,52,0
105,0.0,53,0
106,0.0,53,0
107,0.0,53,0
108,0.09090909090909091,54,0
109,0.18181818181818182,54,0
110,0.3181818181818182,54,0
111,0.4782608695652174,55,0
112,0.625,57,0
113,0.7916666666666666,57,0
114,1.0,58,0
115,1.3181818181818181,58,0
116,1.5217391304347827,59,0
117,1.826086956521739,59,0
118,2.0416666666666665,60,0
119,2.1666666666666665,60,0
120,2.4166666666666665,60,0
121,2.7083333333333335,61,0
122,3.130434782608696,62,0
123,3.4347826086956523,62,0
124,3.909090909090909,62,0
125,4.428571428571429,62,0
126,4.590909090909091,63,0
127,5.0,63,0
128,5.043478260869565,64,0
129,5.391304347826087,64,0
130,5.5,65,0
131,5.833333333333333,65,0
132,4.92,66,0
133,4.583333333333333,66,0
134,4.153846153846154,68,0
135,4.384615384615385,68,0
136,4.8,69,0
137,5.04,69,0
138,4.208333333333333,69,0
139,3.347826086956522,69,0
140,2.44,71,0
141,2.56,71,0
142,2.68,71,0
143,2.6923076923076925,72,0
144,3.0833333333333335,72,0
145,3.5454545454545454,72,0
146,2.0454545454545454,73,0
147,0.7727272727272727,73,0
148,0.2916666666666667,75,0
149,0.21739130434782608,75,0
150,0.20833333333333334,76,0
151,0.25,76,0
152,0.3333333333333333,77,0
153,0.4782608695652174,77,0
154,0.5833333333333334,78,0
155,0.782608695652174,78,0
156,1.0,78,0
157,1.2173913043478262,78,0
158,1.28,80,0
159,1.48,80,0
160,1.64,80,0
161,2.0,80,0
162,2.04,82,0
163,2.24,82,0
164,2.739130434782609,83,0
165,3.0434782608695654,83,0
166,3.347826086956522,84,0
167,2.782608695652174,84,0
168,2.25,85,0
169,1.875,85,0
170,2.04,86,0
171,2.28,86,0
172,2.423076923076923,87,0
173,2.6538461538461537,87,0
174,2.8846153846153846,88,0
175,3.24,88,0
176,3.3846153846153846,89,0
177,3.6538461538461537,89,0
178,4.08,89,0
179,4.230769230769231,90,0
180,4.407407407407407,91,0
181,4.777777777777778,91,0
182,4.964285714285714,92,0
183,5.321428571428571,92,0
184,5.517241379310345,93,0
185,5.892857142857143,93,0
186,6.285714285714286,93,0
187,6.678571428571429,93,0
188,6.896551724137931,94,0
189,7.275862068965517,94,0
190,7.724137931034483,94,0
191,8.172413793103448,94,0
192,8.620689655172415,94,0
193,9.777777777777779,94,0
194,10.296296296296296,94,0
195,10.814814814814815,94,0
196,10.678571428571429,96,0
197,11.142857142857142,96,0
198,10.866666666666667,98,0
199,10.133333333333333,98,0
200,9.225806451612904,99,0
201,8.5,100,0
202,8.15625,101,0
203,7.9375,101,0
204,7.705882352941177,103,0
205,8.709677419354838,103,0
206,8.6875,104,0
207,9.225806451612904,104,0
208,9.516129032258064,104,0
209,9.838709677419354,104,0
210,10.225806451612904,105,0
211,10.612903225806452,105,0
212,11.03225806451613,105,0
213,11.125,106,0
214,11.5625,106,0
215,12.033333333333333,106,0
216,11.333333333333334,109,0
217,9.454545454545455,109,0
218,9.5,110,0
219,8.0,110,0
220,6.818181818181818,110,0
221,5.454545454545454,110,0
222,5.529411764705882,111,0
223,4.4411764705882355,111,0
224,3.4411764705882355,112,0
225,2.4705882352941178,112,0
226,2.272727272727273,112,0
227,2.625,112,0
228,2.46875,113,0
229,2.774193548387097,113,0
230,2.9375,115,0
231,2.96875,116,0
232,1.46875,116,0
233,0.96875,117,0
234,0.5625,118,0
235,0.46875,118,0
236,0.3870967741935484,119,0
237,0.4,119,0
238,0.5,120,0
239,0.6428571428571429,120,0
240,0.7407407407407407,120,0
241,0.8846153846153846,120,0
242,1.0769230769230769,121,0
243,1.04,121,0
244,1.2307692307692308,122,0
245,1.5384615384615385,122,0
246,1.7777777777777777,123,0
247,2.111111111111111,123,0
248,2.107142857142857,124,0
249,2.1785714285714284,124,0
250,2.206896551724138,125,0
251,2.5172413793103448,125,0
252,2.8275862068965516,125,0
253,3.1,126,0
254,2.5161290322580645,127,0
255,2.3225806451612905,127,0
256,2.6666666666666665,128,0
257,3.1724137931034484,128,0
258,3.0714285714285716,129,0
259,2.9642857142857144,129,0
260,2.925925925925926,130,0
261,2.814814814814815,130,0
262,2.642857142857143,131,0
263,2.5714285714285716,131,0
264,2.413793103448276,132,0
265,2.7241379310344827,132,0
266,2.533333333333333,133,0
267,2.5,133,0
268,2.3870967741935485,134,0
269,2.46875,135,0
270,2.71875,136,0
271,3.096774193548387,136,0
272,3.3125,137,0
273,3.806451612903226,137,0
274,3.46875,138,0
275,3.2903225806451615,138,0
276,3.0,139,0
277,2.875,139,0
278,2.6666666666666665,140,0
279,1.78125,140,0
280,1.2727272727272727,141,0
281,1.3333333333333333,141,0
282,1.0909090909090908,142,0
283,0.78125,142,0
284,0.8064516129032258,143,0
285,0.7666666666666667,143,0
286,0.8333333333333334,143,0
287,0.9,144,0
288,1.0689655172413792,144,0
289,1.3103448275862069,144,0
290,1.6071428571428572,145,0
291,1.8928571428571428,145,0
292,1.7142857142857142,147,0
293,1.5357142857142858,147,0
294,1.3928571428571428,148,0
295,1.3461538461538463,148,0
296,1.1111111111111112,149,0
297,0.9615384615384616,149,0
298,0.7916666666666666,150,0
299,0.5833333333333334,150,0
300,0.45454545454545453,150,0
301,0.6190476190476191,150,0
302,0.7391304347826086,152,0
303,0.9545454545454546,152,0
304,0.6818181818181818,152,0
305,0.8181818181818182,153,0
306,0.9545454545454546,153,0
307,1.1818181818181819,153,0
308,1.3478260869565217,154,0
309,1.0869565217391304,154,0
310,0.72,156,0
311,0.48,156,0
312,0.32,156,0
313,0.12,156,0
314,0.038461538461538464,157,0
315,0.07692307692307693,157,0
316,0.14814814814814814,159,0
317,0.2222222222222222,159,0
318,0.2222222222222222,159,0
319,0.3333333333333333,159,0
320,0.42857142857142855,160,0
321,0.5357142857142857,160,0
322,0.6428571428571429,161,0
323,0.75,162,0
324,0.5172413793103449,163,0
325,0.3333333333333333,163,0
326,0.11538461538461539,163,0
327,0.0,163,0
328,0.0,164,0
329,0.04,164,0
330,0.08333333333333333,165,0
331,0.16666666666666666,165,0
332,0.25,166,0
333,0.32,167,0
334,0.4230769230769231,168,0
335,0.64,168,0
336,0.8076923076923077,169,0
337,1.04,169,0
338,1.28,169,0
339,1.6,169,0
340,1.92,169,0
341,2.28,169,0
342,2.75,170,0
343,3.1666666666666665,170,0
344,3.48,171,0
345,3.96,171,0
346,3.72,171,0
347,3.44,171,0
348,3.1923076923076925,172,0
349,3.1538461538461537,173,0
350,2.962962962962963,174,0
351,2.7857142857142856,175,0
352,2.689655172413793,176,0
353,2.8518518518518516,176,0
354,2.75,177,0
355,2.814814814814815,177,0
356,3.1153846153846154,177,0
357,3.3076923076923075,177,0
358,3.3703703703703702,178,0
359,3.6923076923076925,178,0
360,3.8846153846153846,178,0
361,4.115384615384615,178,0
362,3.037037037037037,179,0
363,2.230769230769231,179,0
364,1.4230769230769231,180,0
365,0.8518518518518519,181,0
366,0.48,181,0
367,0.3076923076923077,183,0
368,0.38461538461538464,184,0
369,0.16,184,0
370,0.0,186,0
371,0.037037037037037035,186,0
372,0.07142857142857142,187,0
373,0.10714285714285714,187,0
374,0.21428571428571427,188,0
375,0.2857142857142857,188,0
376,0.42857142857142855,189,0
377,0.5925925925925926,189,0
378,0.75,190,0
379,0.9642857142857143,190,0
380,1.1379310344827587,191,0
381,1.3448275862068966,191,0
382,1.1724137931034482,192,0
383,1.0714285714285714,192,0
384,0.6071428571428571,193,0
385,0.32142857142857145,193,0
386,0.10714285714285714,193,0
387,0.0,193,0
388,0.0,194,0
389,0.0,195,0
390,0.0,196,0
391,0.0,196,0
392,0.03571428571428571,196,0
393,0.10714285714285714,196,0
394,0.2,198,0
395,0.3103448275862069,198,0
396,0.43333333333333335,199,0
397,0.3793103448275862,199,0
398,0.3333333333333333,200,0
399,0.21428571428571427,200,0
400,0.14814814814814814,200,0
401,0.08,200,0
402,0.038461538461538464,201,0
403,0.0,202,0
404,0.0,203,0
405,0.037037037037037035,203,0
406,0.1111111111111111,203,0
407,0.18518518518518517,203,0
408,0.14814814814814814,204,0
409,0.14814814814814814,204,0
410,0.17857142857142858,205,0
411,0.2222222222222222,205,0
412,0.25,206,0
413,0.32142857142857145,207,0
414,0.07407407407407407,207,0
415,0.037037037037037035,208,0
416,0.0,208,0
417,0.0,208,0
418,0.0,210,0
419,0.07407407407407407,210,0
420,0.19230769230769232,210,0
421,0.3076923076923077,210,0
422,0.3333333333333333,211,0
423,0.3333333333333333,212,0
424,0.34782608695652173,213,0
425,0.36363636363636365,213,0
426,0.43478260869565216,214,0
427,0.5909090909090909,214,0
428,0.7272727272727273,215,0
429,0.9047619047619048,215,0
430,1.0476190476190477,216,0
431,1.1904761904761905,216,0
432,1.3333333333333333,217,0
433,1.5238095238095237,217,0
434,1.6818181818181819,218,0
435,1.8181818181818181,218,0
436,2.0,219,0
437,2.1818181818181817,219,0
438,2.3636363636363638,220,0
439,2.590909090909091,220,0
440,2.8181818181818183,221,0
441,3.4,221,0
442,3.4761904761904763,222,0
443,3.761904761904762,222,0
444,3.8636363636363638,223,0
445,4.0,223,0
446,4.45,223,0
447,4.7,223,0
448,5.555555555555555,224,0
449,5.944444444444445,224,0
450,6.052631578947368,225,0
451,6.526315789473684,225,0
452,7.0,225,0
453,7.1,226,0
454,6.9523809523809526,227,0
455,7.190476190476191,227,0
456,7.619047619047619,227,0
457,7.666666666666667,227,0
458,7.681818181818182,228,0
459,8.428571428571429,228,0
460,8.80952380952381,229,0
461,7.142857142857143,229,0
462,5.95,229,0
463,4.190476190476191,230,0
464,2.652173913043478,232,0
465,1.7826086956521738,232,0
466,1.9130434782608696,232,0
467,1.125,233,0
468,0.6,234,0
469,0.6666666666666666,234,0
470,0.72,235,0
471,0.8333333333333334,235,0
472,0.8,236,0
473,0.8,237,0
474,0.8076923076923077,238,0
475,1.0,238,0
476,1.1666666666666667,239,0
477,1.3333333333333333,239,0
478,1.375,239,0
479,1.4166666666666667,239,0
480,1.5,240,0
481,1.625,241,0
482,1.7916666666666667,241,0
483,2.0434782608695654,242,0
484,2.217391304347826,243,0
485,2.5454545454545454,243,0
486,2.6956521739130435,244,0
487,1.4545454545454546,244,0
488,1.0909090909090908,245,0
489,0.9090909090909091,245,0
490,1.0434782608695652,246,0
491,1.3333333333333333,246,0
492,1.5714285714285714,247,0
493,1.8571428571428572,247,0
494,1.9090909090909092,248,0
495,2.1363636363636362,248,0
496,2.3043478260869565,249,0
497,2.6818181818181817,249,0
498,2.8260869565217392,250,0
499,3.1739130434782608,250,0
500,3.375,251,0
501,3.75,251,0
502,3.96,252,0
503,4.333333333333333,252,0
504,4.52,253,0
505,4.88,253,0
506,4.92,254,0
507,5.24,254,0
508,4.230769230769231,255,0
509,4.0,255,0
510,3.814814814814815,256,0
511,3.888888888888889,256,0
512,4.0,257,0
513,4.25,257,0
514,4.666666666666667,258,0
515,4.925925925925926,258,0
516,5.071428571428571,259,0
517,5.392857142857143,259,0
518,5.551724137931035,260,0
519,6.142857142857143,260,0
520,5.206896551724138,261,0
521,5.241379310344827,261,0
522,5.482758620689655,261,0
523,5.862068965517241,261,0
524,6.066666666666666,262,0
525,6.964285714285714,262,0
526,7.206896551724138,264,0
527,6.206896551724138,264,0
528,5.1,265,0
529,4.3,265,0
530,3.8275862068965516,266,0
531,3.586206896551724,266,0
532,3.3,267,0
533,3.2,267,0
534,3.0,268,0
535,3.096774193548387,268,0
536,3.34375,269,0
537,2.967741935483871,269,0
538,2.78125,270,0
539,3.125,270,0
540,3.53125,270,0
541,4.096774193548387,270,0
542,4.483870967741935,271,0
543,4.935483870967742,271,0
544,5.451612903225806,272,0
545,5.78125,273,0
546,6.121212121212121,274,0
547,6.636363636363637,274,0
548,7.151515151515151,275,0
549,7.666666666666667,275,0
550,7.470588235294118,276,0
551,7.5,276,0
552,7.818181818181818,277,0
553,8.25,277,0
554,8.424242424242424,278,0
555,8.848484848484848,278,0
556,9.333333333333334,279,0
557,9.818181818181818,279,0
558,10.0,280,0
559,10.529411764705882,280,0
560,11.058823529411764,281,0
561,11.617647058823529,281,0
562,11.885714285714286,282,0
563,12.342857142857143,282,0
564,12.8,282,0
565,12.88888888888889,283,0
566,13.38888888888889,283,0
567,13.88888888888889,283,0
568,13.68421052631579,285,0
569,14.210526315789474,285,0
570,14.35897435897436,286,0
571,14.897435897435898,286,0
572,15.868421052631579,286,0
573,16.10810810810811,286,0
574,16.72972972972973,287,0
575,15.91891891891892,287,0
576,15.052631578947368,288,0
577,14.710526315789474,288,0
578,14.868421052631579,288,0
579,14.974358974358974,290,0
580,15.125,291,0
581,15.7,291,0
582,16.275,292,0
583,16.9,292,0
584,17.097560975609756,293,0
585,18.175,293,0
586,19.333333333333332,293,0
587,19.525,294,0
588,20.2,294,0
589,20.9,294,0
590,21.073170731707318,295,0
591,22.3,295,0
592,23.0,296,0
593,23.7,296,0
594,23.804878048780488,297,0
595,23.904761904761905,298,0
596,23.325581395348838,299,0
597,23.325581395348838,299,0
598,23.325581395348838,299,0
599,23.88095238095238,299,0
600,25.075,300,0
601,24.525,300,0
602,21.390243902439025,301,0
603,21.365853658536587,301,0
604,19.9,301,0
605,18.15,301,0
606,15.261904761904763,303,0
607,14.24390243902439,303,0
608,12.547619047619047,304,0
609,11.775,304,0
610,10.170731707317072,305,0
611,10.512195121951219,305,0
612,9.475,306,0
613,8.461538461538462,306,0
614,7.230769230769231,306,0
615,6.128205128205129,306,0
616,5.0,307,0
617,4.2,307,0
618,4.625,307,0
619,3.925,307,0
620,3.4878048780487805,308,0
621,3.6,308,0
622,3.926829268292683,309,0
623,4.341463414634147,309,0
624,4.2682926829268295,309,0
625,4.195121951219512,309,0
626,4.225,310,0
627,4.15,310,0
628,3.951219512195122,311,0
629,3.902439024390244,311,0
630,3.6511627906976742,313,0
631,3.7142857142857144,313,0
632,3.511627906976744,314,0
633,2.8181818181818183,315,0
