id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,列1
3,3,E0_0,5.1,0,0,10,E0_0,59.98,14.43,7,54.88,0,0,0,3.27,0,tripinfo_3,DEFAULT_VEHTYPE,1.08,,FALSE
13,13,-E9_0,5.1,0,0,22,E12_0,30.33,15.1,9,80.71,0,0,0,3.55,0,tripinfo_13,DEFAULT_VEHTYPE,1.12,,FALSE
10,10,-E9_0,5.1,0,0,29,-E2_0,39.12,14.34,19,152.07,0,0,0,6.93,0,tripinfo_10,DEFAULT_VEHTYPE,1.09,,TRUE
30,35,-E7_0,5.1,0,5,44,E16_0,35.57,14.4,9,69.76,0,0,0,4.13,0,tripinfo_30,DEFAULT_VEHTYPE,1.18,,FALSE
15,16,-E9_0,5.1,0,1,56,E18_0,25.15,12.72,40,302.44,2,1,0,13.6,0,tripinfo_15,DEFAULT_VEHTYPE,0.93,,FALSE
1,1,E10_0,5.1,0,0,57,E13_0,27.85,12.31,56,264.97,19,1,0,33.56,0,tripinfo_1,DEFAULT_VEHTYPE,0.94,,FALSE
14,14,-E5_0,5.1,0,0,57,E1_0,58.45,10.32,43,234.69,6,1,0,23.5,0,tripinfo_14,DEFAULT_VEHTYPE,0.99,,FALSE
28,28,-E13_0,5.1,0,0,58,E12_0,30.33,13.26,30,130.05,9,1,0,20.1,0,tripinfo_28,DEFAULT_VEHTYPE,1.13,,FALSE
4,4,E2_0,5.1,0,0,60,E23_0,39.96,13.37,56,161.61,33,2,0,43.95,0,tripinfo_4,DEFAULT_VEHTYPE,1.03,,FALSE
20,20,E5_0,5.1,0,0,62,E23_0,39.96,13.82,42,285.47,6,1,0,19.88,0,tripinfo_20,DEFAULT_VEHTYPE,1.02,,FALSE
17,17,E1_0,5.1,0,0,64,E15_0,42.32,12.57,47,159.27,23,1,0,33.08,0,tripinfo_17,DEFAULT_VEHTYPE,0.94,,FALSE
34,34,-E3_0,5.1,0,0,66,E17_0,36.04,13.05,32,185.53,3,1,0,16.52,0,tripinfo_34,DEFAULT_VEHTYPE,0.99,,FALSE
42,42,-E16_0,5.1,0,0,66,E20_0,21.59,14.47,24,111.27,4,1,0,15.15,0,tripinfo_42,DEFAULT_VEHTYPE,1.09,,FALSE
2,2,-E2_0,5.1,0,0,96,E23_0,39.96,13.4,94,207.5,63,2,0,76.82,0,tripinfo_2,DEFAULT_VEHTYPE,1.01,,FALSE
26,26,-E10_0,5.1,0,0,96,-E5_0,60.98,5.23,70,230.12,36,1,0,50.06,0,tripinfo_26,DEFAULT_VEHTYPE,0.92,,FALSE
45,45,E11_0,5.1,0,0,98,-E1_0,58.45,13.9,53,101.88,35,1,0,45.09,0,tripinfo_45,DEFAULT_VEHTYPE,1.09,,FALSE
31,31,-E14_0,5.1,0,0,101,E16_0,35.57,13.16,70,126.06,44,2,0,61.61,0,tripinfo_31,DEFAULT_VEHTYPE,1.15,,FALSE
29,30,-E7_0,5.1,0,1,102,-E3_0,33.94,11.71,72,337.27,19,1,0,42.43,0,tripinfo_29,DEFAULT_VEHTYPE,0.93,,FALSE
18,18,-E21_0,5.1,0,0,103,E11_0,38.72,11.31,85,301.75,44,1,0,59.26,0,tripinfo_18,DEFAULT_VEHTYPE,0.94,,FALSE
19,19,-E19_0,5.1,0,0,103,-E4_0,27.1,11.53,84,125.09,57,3,0,74.83,0,tripinfo_19,DEFAULT_VEHTYPE,1.16,,FALSE
35,35,-E14_0,5.1,0,0,105,-E1_0,58.45,13.75,70,144.36,40,2,0,58.4,0,tripinfo_35,DEFAULT_VEHTYPE,1.02,,FALSE
24,24,E9_0,5.1,0,0,107,E11_0,38.72,10.79,83,283.81,33,3,0,54.52,0,tripinfo_24,DEFAULT_VEHTYPE,0.83,,FALSE
41,41,-E1_0,5.1,0,0,110,-E2_0,39.12,12.41,69,294.11,24,1,0,44.48,0,tripinfo_41,DEFAULT_VEHTYPE,0.96,,FALSE
65,65,-E13_0,5.1,0,0,112,E15_0,42.32,11.61,47,157.83,21,1,0,32.48,0,tripinfo_65,DEFAULT_VEHTYPE,0.88,,FALSE
8,8,-E15_0,5.1,0,0,116,E21_0,16.21,12.25,108,306.1,64,2,0,83.26,0,tripinfo_8,DEFAULT_VEHTYPE,0.94,,FALSE
43,43,E7_0,5.1,0,0,118,E21_0,16.21,14.14,75,195.43,43,2,0,60.36,0,tripinfo_43,DEFAULT_VEHTYPE,1.04,,FALSE
62,62,E3_0,5.1,0,0,119,E22_0,33.36,13.16,57,182.94,26,1,0,41.74,0,tripinfo_62,DEFAULT_VEHTYPE,1.02,,FALSE
90,90,-E12_0,5.1,0,0,119,E10_0,63.43,8.33,29,176.34,7,1,0,15.7,0,tripinfo_90,DEFAULT_VEHTYPE,1.02,,FALSE
11,11,-E20_0,5.1,0,0,124,E21_0,16.21,13.43,113,191.73,78,3,0,98.52,0,tripinfo_11,DEFAULT_VEHTYPE,1.03,,FALSE
105,113,-E6_0,5.1,0,8,126,E19_0,18.28,11.71,13,82.38,0,0,0,6.54,0,tripinfo_105,DEFAULT_VEHTYPE,1.07,,FALSE
