id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,列1
6,18,-E21_0,5.1,0,0,57,E3_0,33.94,12.81,39,164.98,7,2,0,24.27,0,tripinfo_6,DEFAULT_VEHTYPE,1.05,,42.77777778
8,24,E0_0,5.1,0,0,60,-E11_0,38.72,12.84,36,181.19,10,1,0,20.97,0,tripinfo_8,DEFAULT_VEHTYPE,0.94,,42.77777778
22,66,E0_0,5.1,0,0,82,E19_0,18.28,13.36,16,130.73,0,0,0,4.63,0,tripinfo_22,DEFAULT_VEHTYPE,0.97,,42.77777778
7,21,E4_0,5.1,0,0,93,E5_0,60.98,5.3,72,97.38,50,2,0,63.24,0,tripinfo_7,DEFAULT_VEHTYPE,0.89,,42.77777778
1,3,-E9_0,5.1,0,0,95,-E4_0,27.1,12.43,92,306.97,48,2,0,65.62,0,tripinfo_1,DEFAULT_VEHTYPE,0.94,,42.77777778
10,30,-E15_0,5.1,0,0,98,E1_0,58.45,15,68,241.35,39,1,0,49.79,0,tripinfo_10,DEFAULT_VEHTYPE,1.09,,42.77777778
14,42,-E15_0,5.1,0,0,104,E8_0,58.81,13.23,62,188.72,38,1,0,48.01,0,tripinfo_14,DEFAULT_VEHTYPE,0.99,,42.77777778
20,60,-E23_0,5.1,0,0,104,E14_0,27.81,11.37,44,228.66,15,1,0,26.95,0,tripinfo_20,DEFAULT_VEHTYPE,1.02,,42.77777778
2,6,E1_0,5.1,0,0,106,E21_0,16.21,12.67,100,262.92,58,2,0,80.33,0,tripinfo_2,DEFAULT_VEHTYPE,1.01,,42.77777778
23,69,-E20_0,5.1,0,0,106,E19_0,18.28,10.79,37,118.41,13,1,0,26.05,0,tripinfo_23,DEFAULT_VEHTYPE,0.89,,42.77777778
5,15,-E5_0,5.1,0,0,107,-E3_0,33.94,8.52,92,380.86,26,2,0,54.54,0,tripinfo_5,DEFAULT_VEHTYPE,0.83,,42.77777778
4,12,-E22_0,5.1,0,0,109,E22_0,33.36,13.04,97,299.96,49,2,0,73.5,0,tripinfo_4,DEFAULT_VEHTYPE,1.03,,42.77777778
15,45,E5_0,5.1,0,0,111,-E11_0,38.72,11.96,66,223.24,35,2,0,47.45,0,tripinfo_15,DEFAULT_VEHTYPE,0.93,,42.77777778
25,75,-E4_0,5.1,0,0,112,E10_0,63.43,11.18,37,223.4,8,1,0,16.79,0,tripinfo_25,DEFAULT_VEHTYPE,0.87,,42.77777778
21,63,-E12_0,5.1,0,0,116,-E8_0,58.81,11.65,53,98.39,32,2,0,45.26,0,tripinfo_21,DEFAULT_VEHTYPE,1.01,,42.77777778
9,27,E3_0,5.1,0,0,125,E11_0,38.72,11.35,98,384.52,46,2,0,62.47,0,tripinfo_9,DEFAULT_VEHTYPE,0.86,,42.77777778
