step,avg_waiting_time,max_waiting_time,throughput,conflict_count
161,7.2272727272727275,26.0,81,0
162,7.613636363636363,27.0,82,0
163,8.159090909090908,28.0,82,0
164,8.622222222222222,29.0,83,0
165,9.311111111111112,30.0,83,0
166,9.777777777777779,31.0,83,0
167,10.311111111111112,32.0,83,0
168,10.630434782608695,33.0,84,0
169,11.173913043478262,34.0,84,0
170,11.72340425531915,35.0,85,0
171,12.53191489361702,36.0,85,0
172,13.083333333333334,37.0,86,0
173,13.9375,38.0,86,0
174,14.354166666666666,39.0,86,0
175,14.770833333333334,40.0,86,0
176,15.0,41.0,87,0
177,15.875,42.0,87,0
178,16.479166666666668,43.0,87,0
179,17.083333333333332,44.0,87,0
180,11.5625,43.0,87,0
181,7.229166666666667,42.0,87,0
182,3.836734693877551,29.0,88,0
183,2.3125,16.0,88,0
184,1.148936170212766,15.0,88,0
185,0.9375,16.0,89,0
186,1.1702127659574468,17.0,91,0
187,1.488888888888889,18.0,91,0
188,1.7872340425531914,19.0,93,0
189,2.1666666666666665,20.0,94,0
190,2.702127659574468,21.0,94,0
191,3.25531914893617,22.0,94,0
192,3.7708333333333335,23.0,95,0
193,4.4375,24.0,95,0
194,5.145833333333333,25.0,95,0
195,5.875,26.0,95,0
196,6.489795918367347,27.0,96,0
197,7.244897959183674,28.0,96,0
198,7.84,29.0,97,0
199,8.62,30.0,97,0
200,9.42,31.0,97,0
201,10.03921568627451,32.0,98,0
202,10.862745098039216,33.0,98,0
203,11.705882352941176,34.0,98,0
204,9.788461538461538,35.0,99,0
205,8.134615384615385,36.0,99,0
206,6.903846153846154,37.0,99,0
207,6.4,38.0,99,0
208,6.28,39.0,99,0
209,6.588235294117647,40.0,100,0
210,7.479166666666667,41.0,100,0
211,6.5,39.0,100,0
212,6.043478260869565,39.0,100,0
213,5.391304347826087,29.0,100,0
214,5.295454545454546,30.0,100,0
215,5.5227272727272725,31.0,100,0
216,5.909090909090909,32.0,100,0
217,6.386363636363637,33.0,100,0
218,6.863636363636363,34.0,100,0
219,7.604651162790698,35.0,100,0
220,8.255813953488373,36.0,100,0
221,9.166666666666666,37.0,100,0
222,9.880952380952381,38.0,100,0
223,10.78048780487805,39.0,100,0
224,11.536585365853659,40.0,100,0
225,9.825,33.0,100,0
226,9.325,34.0,100,0
227,9.725,35.0,100,0
228,10.375,36.0,100,0
229,11.025,37.0,100,0
230,11.25,38.0,100,0
231,11.76923076923077,39.0,100,0
232,12.675675675675675,40.0,100,0
233,12.945945945945946,41.0,100,0
234,10.486486486486486,42.0,100,0
235,8.833333333333334,43.0,100,0
236,7.472222222222222,44.0,100,0
237,6.666666666666667,45.0,100,0
238,6.277777777777778,46.0,100,0
239,5.944444444444445,47.0,100,0
240,6.0588235294117645,48.0,100,0
241,6.606060606060606,49.0,100,0
242,7.34375,50.0,100,0
243,7.84375,51.0,100,0
244,8.64516129032258,52.0,100,0
245,9.290322580645162,53.0,100,0
246,10.266666666666667,54.0,100,0
247,10.966666666666667,55.0,100,0
248,11.666666666666666,56.0,100,0
249,9.827586206896552,50.0,100,0
250,8.241379310344827,48.0,100,0
251,6.724137931034483,24.0,100,0
252,7.0,25.0,100,0
253,7.586206896551724,26.0,100,0
254,8.5,27.0,100,0
255,9.518518518518519,28.0,100,0
256,10.615384615384615,29.0,100,0
257,11.8,30.0,100,0
258,12.6,31.0,100,0
259,14.565217391304348,32.0,100,0
260,15.434782608695652,33.0,100,0
261,17.09090909090909,34.0,100,0
262,18.045454545454547,35.0,100,0
263,19.0,36.0,100,0
264,20.0,37.0,100,0
265,21.0,38.0,100,0
266,22.0,39.0,100,0
267,23.0,40.0,100,0
268,24.0,41.0,100,0
269,25.0,42.0,100,0
270,22.136363636363637,38.0,100,0
271,16.954545454545453,37.0,100,0
272,14.545454545454545,36.0,100,0
273,12.727272727272727,35.0,100,0
274,11.590909090909092,36.0,100,0
275,10.363636363636363,34.0,100,0
276,10.1,33.0,100,0
277,9.263157894736842,33.0,100,0
278,7.894736842105263,30.0,100,0
279,9.235294117647058,31.0,100,0
280,9.647058823529411,32.0,100,0
281,10.6875,33.0,100,0
282,11.1875,34.0,100,0
283,12.466666666666667,35.0,100,0
284,13.928571428571429,36.0,100,0
285,14.571428571428571,37.0,100,0
286,16.384615384615383,38.0,100,0
287,17.076923076923077,39.0,100,0
288,17.76923076923077,40.0,100,0
289,18.615384615384617,41.0,100,0
290,19.46153846153846,42.0,100,0
291,20.384615384615383,43.0,100,0
292,21.307692307692307,44.0,100,0
293,22.23076923076923,45.0,100,0
294,19.692307692307693,42.0,100,0
295,17.307692307692307,43.0,100,0
296,14.923076923076923,44.0,100,0
297,12.23076923076923,44.0,100,0
298,9.461538461538462,38.0,100,0
299,7.076923076923077,22.0,100,0
300,6.6923076923076925,23.0,100,0
301,5.615384615384615,24.0,100,0
302,5.0,25.0,100,0
303,4.9,26.0,100,0
304,3.8,27.0,100,0
305,4.0,28.0,100,0
306,4.2,29.0,100,0
307,4.888888888888889,30.0,100,0
308,5.111111111111111,31.0,100,0
309,5.333333333333333,32.0,100,0
310,6.375,33.0,100,0
311,7.0,34.0,100,0
312,7.625,35.0,100,0
313,8.25,36.0,100,0
314,9.0,37.0,100,0
315,4.375,22.0,100,0
316,4.25,23.0,100,0
317,4.857142857142857,24.0,100,0
318,4.857142857142857,25.0,100,0
319,5.142857142857143,26.0,100,0
320,5.428571428571429,27.0,100,0
321,5.714285714285714,28.0,100,0
322,7.0,29.0,100,0
323,7.333333333333333,30.0,100,0
324,9.2,31.0,100,0
325,12.0,32.0,100,0
326,12.5,33.0,100,0
327,17.333333333333332,34.0,100,0
328,18.0,35.0,100,0
329,18.666666666666668,36.0,100,0
330,29.0,37.0,100,0
331,30.0,38.0,100,0
332,31.0,39.0,100,0
333,32.0,40.0,100,0
334,33.0,41.0,100,0
335,34.0,42.0,100,0
336,35.0,43.0,100,0
337,36.0,44.0,100,0
338,37.0,45.0,100,0
339,0.0,0.0,100,0
